#CNPJ_IF;NOME_IF;SEGMENTO_IF
06126780;COOP CRESOL GRANDES LAGOS PR/SP;COOPERATIVA DE CRÉDITO
06139650;COOP CRESOL RIO GRANDE DO SUL;COOPERATIVA DE CRÉDITO
06174009;CC SICOOB ALIANÇA;COOPERATIVA DE CRÉDITO
06284531;AF ESTADO DE MT-DESENVOLVE MT;BANCO DE DESENVOLVIMENTO E AGÊNCIA DE FOMENTO
06332931;COOP SICREDI CERRADO GO;COOPERATIVA DE CRÉDITO
06890201;CCR INT SOL DE FREI ROGÉRIO;COOPERATIVA DE CRÉDITO
06910457;CCLA SANTA CRUZ PALMEIRAS;COOPERATIVA DE CRÉDITO
07016503;CCR INT SOL ARAPONGA;COOPERATIVA DE CRÉDITO
07026923;CCLA SICOOB ARENITO PARANÁ / SÃO PAULO;COOPERATIVA DE CRÉDITO
07076644;CRESOL REALEZA;COOPERATIVA DE CRÉDITO
07097064;COOP SICOOB CONFIANÇA;COOPERATIVA DE CRÉDITO
07108146;CCLA DO VALE RIO CRIXÁS;COOPERATIVA DE CRÉDITO
07122321;CC INTEGRADO - SICOOB INTEGRADO;COOPERATIVA DE CRÉDITO
07194313;CC SICOOB HORIZONTE;COOPERATIVA DE CRÉDITO
07202627;CRESOL CENTRAL BRASIL;COOPERATIVA DE CRÉDITO
07206072;COOP SICREDI NOVOS HORIZONTES;COOPERATIVA DE CRÉDITO
07208637;CCR INT. SOLIDÁRIA DA ZONA DA MATA;COOPERATIVA DE CRÉDITO
07211698;CRESOL LONDRINA;COOPERATIVA DE CRÉDITO
07215632;COOP CRESOL ALTERNATIVA;COOPERATIVA DE CRÉDITO
07237373;BCO DO NORDESTE DO BRASIL S.A.;BANCO PÚBLICO
07252614;COOP CRESOL CONFIANÇA;COOPERATIVA DE CRÉDITO
07268499;COOP CRESOL INTEGRACAO;COOPERATIVA DE CRÉDITO
07268732;CCR H NOVOS DE IJUÍ;COOPERATIVA DE CRÉDITO
07312152;CCRIS DE BELA VISTA DA CAROBA;COOPERATIVA DE CRÉDITO
07318874;COOP  SICOOB MÉDIO OESTE;COOPERATIVA DE CRÉDITO
07320890;COOP CRESOL VALE;COOPERATIVA DE CRÉDITO
07356021;CCR INT SOL DO VALE DO TAQUARI;COOPERATIVA DE CRÉDITO
07407136;CCRIS CASTRO;COOPERATIVA DE CRÉDITO
07412987;COOP CRESOL ALIANÇA;COOPERATIVA DE CRÉDITO
07450604;BCO CCB BRASIL S.A.;BANCO PRIVADO
07458684;CCLA CENTRO LESTE;COOPERATIVA DE CRÉDITO
07465539;COOP CRESOL ALTO VALE;COOPERATIVA DE CRÉDITO
07475376;CCR INT SOL ESPÍRITO SANTO;COOPERATIVA DE CRÉDITO
07502031;CCLA CENTRO OESTE LTDA.;COOPERATIVA DE CRÉDITO
07507647;CCR INT SOL DO ALTO VALE;COOPERATIVA DE CRÉDITO
07509426;COOP CRESOL XANXERE;COOPERATIVA DE CRÉDITO
07512780;COOP CRESOL VALE EUROPEU;COOPERATIVA DE CRÉDITO
07514202;CCR INT SOL ÁGUAS DE CHAPECÓ;COOPERATIVA DE CRÉDITO
07519375;CCR INT SOL IMARUÍ;COOPERATIVA DE CRÉDITO
07522059;CCR INT SOL DO MÉDIO VALE;COOPERATIVA DE CRÉDITO
07542211;CCR INT SOL SÃO JOÃO DA URTIGA;COOPERATIVA DE CRÉDITO
07557462;CRESOL SÃO JOÃO;COOPERATIVA DE CRÉDITO
07564184;COOP ASCOOB SERTÕES;COOPERATIVA DE CRÉDITO
07599206;CCLA DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.;COOPERATIVA DE CRÉDITO
07642803;CRESOL EXTREMO NORTE ES;COOPERATIVA DE CRÉDITO
07707311;CCR INT SOL SUL CAPIXABA;COOPERATIVA DE CRÉDITO
07853842;UNIPRIME OURO - COOP DE OURO;COOPERATIVA DE CRÉDITO
07925729;COOP CRESOL NORTE PARANAENSE;COOPERATIVA DE CRÉDITO
07926510;CCR INT SOL N ESPERANÇ SUDOEST;COOPERATIVA DE CRÉDITO
07946451;COOP CRESOL MEIO OESTE;COOPERATIVA DE CRÉDITO
07958405;COOP CRESOL SERRA MAR;COOPERATIVA DE CRÉDITO
08044854;C.C. DO CENTRO DO ESTADO DE RONDÔNIA;COOPERATIVA DE CRÉDITO
08055016;COOP CRESOL INTERAÇÃO;COOPERATIVA DE CRÉDITO
08071414;CECM SICOOB COOPERAC;COOPERATIVA DE CRÉDITO
08239542;CCR INT SOL DE CERRO LARGO;COOPERATIVA DE CRÉDITO
08240446;CCR DE IBIAM;COOPERATIVA DE CRÉDITO
08253539;CCR DE SÃO MIGUEL DO OESTE;COOPERATIVA DE CRÉDITO
08297831;CCR INT SOL DO VALE EUROPEU;COOPERATIVA DE CRÉDITO
08387258;CCR INT SOL SCHROEDER;COOPERATIVA DE CRÉDITO
08488377;COOP CRESOL MISSÕES FRONTEIRA RS;COOPERATIVA DE CRÉDITO
08560508;COOP CRESOL TRIUNFO;COOPERATIVA DE CRÉDITO
08597482;CCR INT SOL DE UNIÃO DOS PLANA;COOPERATIVA DE CRÉDITO
08624548;COOP CRESOL MINAS GERAIS;COOPERATIVA DE CRÉDITO
08647473;COOP CRESOL CORONEL FREITAS;COOPERATIVA DE CRÉDITO
08652872;COOP CRESOL SANTA TEREZINHA DO PROGRESSO;COOPERATIVA DE CRÉDITO
08723661;CCLA DO SUDESTE PA;COOPERATIVA DE CRÉDITO
08742188;CCLA UNIÃO E NEGÓCIOS  - SICOOB INTEGRAÇÃO;COOPERATIVA DE CRÉDITO
08795285;CCLA SICOOB CREDIACIL;COOPERATIVA DE CRÉDITO
08801139;CCR INT SOL DE CLEVELÂNDIA;COOPERATIVA DE CRÉDITO
08805562;CCR INT SOL TIRADENTES DO SUL;COOPERATIVA DE CRÉDITO
08812388;CRESOL ENEAS MARQUES;COOPERATIVA DE CRÉDITO
08850098;CCR INT SOL DE MEDIANEIRA;COOPERATIVA DE CRÉDITO
08850180;CCR INT SOL DE MISSAL;COOPERATIVA DE CRÉDITO
