#CODIGO,DESCRICAO,VALOR,DATA_INICIO,DATA_FIM
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",17.87,"15/06/2015","30/06/2015"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO",10.00,"01/11/2011","12/06/2015"
"0158","PROCAP-CRED (PROG CAPIT COOP CRÉDITO) ENCERRADO",4.00,"04/06/2012","07/11/2022"
"0158","PROCAP-CRED (PROG CAPIT COOP CRÉDITO) ENCERRADO",10.00,"01/11/2011","04/06/2012"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",8.00,"01/07/2022",
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.50,"01/07/2021","30/06/2022"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.00,"01/07/2020","30/06/2021"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",7.00,"01/07/2019","30/06/2020"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.00,"01/07/2018","30/06/2019"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",7.50,"01/07/2017","30/06/2018"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",4.50,"01/07/2013","30/06/2014"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",5.00,"01/07/2012","30/06/2013"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",8.50,"01/07/2016","30/06/2017"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",7.75,"01/07/2015","30/06/2016"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",5.50,"01/07/2014","30/06/2015"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL",6.75,"01/11/2011","30/06/2012"
"0159","MODERMAQ - PROG MOD PARQUE IND NACIONAL - ENCERRADO",11.00,"01/01/2014","07/11/2022"
"0159","MODERMAQ - PROG MOD PARQUE IND NACIONAL - ENCERRADO",0.00,"06/08/2004","31/12/2013"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO",2.00,"01/01/2013","11/11/2022"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO",0.00,"01/01/1984","31/12/2012"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO",0.00,"01/01/1984",
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO",9.50,"01/01/2015","07/11/2022"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO",6.00,"01/07/2014","31/12/2014"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO",3.50,"01/07/2013","30/06/2014"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO",3.00,"15/01/2013","30/06/2013"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO",3.50,"14/01/2013","15/01/2013"
"0777","Linha Crédito Rural inst Res. 4.147/2012 e 4.260/2013 (Demais Agricultores) ENCERRADO",8.50,"01/01/2013","18/11/2022"
"0721","Linha Crédito Rural instit Res. 4.028/2011 (Dívidas Composição e Renegoc PRONAF) - ENCERRADO",2.00,"01/01/2013","11/11/2022"
"0722","Linha Crédito Rural inst Res. 4.029/2011 (Reneg Crédito Fundiário) ENCERRADO",5.00,"01/01/2013","17/11/2022"
"0779","Linha de Crédito Rural instituida pela Res. 4.161/2012 (Produtores de Arroz) ENCERRADO",5.50,"01/01/2013","18/11/2022"
"0730","Linha Crédito Rural inst Res. 4.083/2012 (Enchentes Reg Norte) ENCERRADO",4.00,"01/01/2013","17/11/2022"
"0783","Linha Crédito Rural inst pelas Res 4.189 e 4.212/2013-PRONAF (Estiagem Area Sudene) ENCERRADO",4.00,"01/01/2013","18/11/2022"
"0776","Linha Crédito Rural Inst Res. 4.147/2012 e 4.260/2013 (Agricultores Familiares) ENCERRADO",4.00,"01/01/2013","18/11/2022"
"0784","Linha Credito Rural inst Res. 4.188 e 4.211/2013-Demais Produtores (Estiagem Area Sudene) ENCERRADO",5.50,"01/01/2013","18/11/2022"
"0161","PRORENOVA-RURAL- PROG APOIO  RENOV IMPLANTAÇÃO NOVOS CANAVIAIS- ENCERRADO",15.00,"01/07/2018","31/12/2018"
"0161","PRORENOVA-RURAL- PROG APOIO  RENOV IMPLANTAÇÃO NOVOS CANAVIAIS- ENCERRADO",65.00,"01/07/2015","30/06/2016"
"0161","PRORENOVA-RURAL- PROG APOIO  RENOV IMPLANTAÇÃO NOVOS CANAVIAIS- ENCERRADO",5.50,"18/06/2013","30/06/2015"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",10.50,"01/07/2022",
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",7.00,"01/07/2021","30/06/2022"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",6.00,"01/07/2020","30/06/2021"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",7.00,"01/07/2019","30/06/2020"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",6.00,"01/07/2018","30/06/2019"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",6.50,"01/07/2017","30/06/2018"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",8.50,"01/07/2016","30/06/2017"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",7.50,"01/07/2015","30/06/2016"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",4.00,"01/07/2014","30/06/2015"
"0162","INOVAGRO - Programa de Incentivo à Inovação Tecnológica na Produção Agropecuária",3.50,"01/07/2013","30/06/2014"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",8.50,"01/07/2022",
"0163","PCA - Programa para Construção e Ampliação de Armazéns",7.00,"01/07/2021","30/06/2022"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",6.00,"01/07/2020","30/06/2021"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",7.00,"01/07/2019","30/06/2020"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",6.00,"01/07/2018","30/06/2019"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",6.50,"01/07/2017","30/06/2018"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",8.50,"01/07/2016","30/06/2017"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",7.50,"01/07/2015","30/06/2016"
"0163","PCA - Programa para Construção e Ampliação de Armazéns",4.00,"01/07/2014","30/06/2015"
