#CODIGO_PROGRAMA,DESCRICAO_PROGRAMA,CODIGO_FONTE,DESCRICAO_FONTE
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0505","BNDES/FINAME - EQUALIZÁVEL"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","0201","OBRIGATÓRIOS - MCR 6.2"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO","0506","BNDES LIVRE"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0158","PROCAP-CRED (PROG CAPIT COOP CRÉDITO) ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0304","EXIGIBILIDADE ADICIONAL DA POUPANÇA RURAL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0202","EXIGIBILIDADE ADICIONAL DOS RECURSOS À VISTA"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0431","LETRA DE CRÉDITO DO AGRONEGÓCIO (LCA) - CONTROLADOS - SUBVENÇÃO ECONÔMICA - MCR 6-7-7A-"b"-I"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0450","INSTR HIBRIDO CAPITAL DÍVIDA-IHCD (Lei 12.793/2013 - Art. 6º) - EQUALIZÁVEL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0505","BNDES/FINAME - EQUALIZÁVEL"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0402","RECURSOS LIVRES"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0303","POUPANÇA RURAL - LIVRE"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0300","POUPANÇA RURAL - CONTROLADOS - SUBVENÇÃO ECONÔMICA"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0201","OBRIGATÓRIOS - MCR 6.2"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0250","FACULDADE DE APLICAÇÃO - COMPULSÓRIO"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","0403","RECURSOS LIVRES EQUALIZÁVEIS"
"0159","MODERMAQ - PROG MOD PARQUE IND NACIONAL - ENCERRADO","0505","BNDES/FINAME - EQUALIZÁVEL"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0507","INCRA"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","0650","FAT - FUNDO DE AMPARO AO TRABALHADOR"
